report_date,số_clip_post,số_bài_viết_bao_gồm_hình_ảnh,số_sự_kiện_xúc_tiến_bao_gồm_hội_chợ_diễn_đàn_event_khác_lần_tháng,số_báo_giá_cho_pot_báo_giá_tuần,số_mẫu_gửi_cho_pot_mẫu_tuần,chi_phí_gửi_mẫu_cho_pot_vnd_tháng,số_khách_hàng_mới_new_được_chốt_khách_tuần,doanh_thu_từ_new_vnd_tuần,tỷ_lệ_đóng_góp_doanh_thu_new_tổng_doanh_thu_tháng,sản_lượng_bán_sp_nha_đam,sản_lượng_bán_sp_thạch_dừa,sản_lượng_bán_sp_thương_mại_khác,doanh_thu_sp_nha_đam,doanh_thu_sp_thạch_dừa,doanh_thu_sp_thương_mại_khác,tỷ_lệ_hoàn_thành_kh_sản_lượng_bán,tỷ_lệ_hoàn_thành_kh_doanh_thu,tỷ_lệ_thu_hồi_công_nợ,trị_giá_thu_hồi_công_nợ,trị_giá_công_nợ_ngắn_hạn_dưới_1_tháng,trị_giá_công_nợ_ngắn_hạn_trên_1_tháng_dưới_3_tháng,thời_gian_thu_hồi_công_nợ,tổng_cầu_về_sản_phẩm_nha_đam,tổng_cầu_về_sản_phẩm_thạch_dừa,tổng_cầu_về_sản_phẩm_thương_mại_khác,tỷ_lệ_đáp_ứng_tổng_cầu_về_sản_phẩm_nha_đam,tỷ_lệ_đáp_ứng_tổng_cầu_về_sản_phẩm_thạch_dừa,tỷ_lệ_đáp_ứng_tổng_cầu_về_sản_phẩm_thương_mại_khác,số_khiếu_nại_nhận,trị_giá_đền_bù_cho_khiếu_nại,thời_gian_giải_quyết_khiếu_nại,số_nhu_cầu_về_sản_phẩm_mới_nhu_cầu_mới_nhu_cầu_tháng_nhu_cầu_mới_là_nhu_cầu_về_sản_phẩm_hoàn_toàn_mới_và_chưa_có_mã_sản_phẩm,số_lần_khách_hủy_đơn_lần_tháng,chi_phí_vận_tải_bao_gồm_bằng_xe_tải_xe_cont_nâng_hạ_tại_cảng,chi_phí_xuất_khẩu_và_liên_quan_đến_hải_quan_xuất_khẩu,chi_phí_làm_và_xuất_trình_bộ_chứng_từ_xuất_khẩu,thời_gian_làm_và_xuất_trình_bộ_chứng_từ_xuất_khẩu,chi_phí_gửi_bộ_chứng_từ_xuất_khẩu,chi_phí_nhập_khẩu
2025-01-02,1.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500000.0,6800000.0,1500000.0,2.0,420000.0,6800000.0
2025-01-03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800000.0,7500000.0,1800000.0,3.0,380000.0,7500000.0
2025-01-04,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4100000.0,4900000.0,2100000.0,4.0,450000.0,4900000.0
2025-01-06,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200000.0,6200000.0,1700000.0,5.0,370000.0,6200000.0
2025-01-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0,7300000.0,2000000.0,3.0,430000.0,7300000.0
2025-01-08,3.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4700000.0,5600000.0,2400000.0,6.0,390000.0,5600000.0
2025-01-09,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,175000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800000.0,8700000.0,1400000.0,4.0,410000.0,8700000.0
2025-01-10,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3900000.0,6500000.0,1600000.0,3.0,460000.0,6500000.0
2025-01-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600000.0,7900000.0,1900000.0,2.0,340000.0,7900000.0
2025-01-13,3.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,172500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700000.0,8400000.0,1250000.0,4.0,360000.0,8400000.0
2025-01-14,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,47000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,6900000.0,1750000.0,3.0,440000.0,6900000.0
2025-01-15,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2900000.0,7100000.0,2050000.0,6.0,395000.0,7100000.0
2025-01-16,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500000.0,5800000.0,2350000.0,2.0,370000.0,5800000.0
2025-01-17,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900000.0,8600000.0,1450000.0,4.0,490000.0,8600000.0
2025-01-18,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3400000.0,6300000.0,1850000.0,5.0,345000.0,6300000.0
2025-01-20,3.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4600000.0,5900000.0,2500000.0,7.0,405000.0,5900000.0
2025-01-21,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,8200000.0,1100000.0,2.0,355000.0,8200000.0
2025-01-22,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100000.0,6700000.0,1550000.0,5.0,425000.0,6700000.0
2025-01-23,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,171500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400000.0,7600000.0,1950000.0,4.0,375000.0,7600000.0
2025-01-24,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,44500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200000.0,5700000.0,2300000.0,6.0,465000.0,5700000.0
2025-01-25,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300000.0,8500000.0,1350000.0,3.0,415000.0,8500000.0
2025-02-04,3.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,171500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2350000.0,7000000.0,2070000.0,2.0,390000.0,7000000.0
2025-02-05,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4250000.0,5500000.0,2370000.0,6.0,400000.0,5500000.0
2025-02-06,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1550000.0,8900000.0,1270000.0,5.0,470000.0,8900000.0
2025-02-07,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3450000.0,6100000.0,1770000.0,3.0,380000.0,6100000.0
2025-02-08,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,59500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2650000.0,7700000.0,2170000.0,4.0,410000.0,7700000.0
2025-02-10,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,46500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1750000.0,8800000.0,1140000.0,6.0,340000.0,8800000.0
2025-02-11,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3850000.0,6750000.0,1520000.0,5.0,480000.0,6750000.0
