report_date,số_hợp_đồng_đang_rà_soát,số_phụ_lục_hợp_đồng_đang_rà_soát,số_hợp_đồng_phụ_lục_mới_được_lưu_trữ,số_hợp_đồng_mới_nhận_từ_các_phòng_ban,số_hợp_đồng_có_điều_khoản_cần_đàm_phán_lại,số_hợp_đồng_có_tranh_chấp_phát_sinh,số_biên_bản_nghiệm_thu_thanh_lý_đang_rà_soát,số_văn_bản_pháp_lý_đang_soạn_thảo,số_văn_bản_pháp_lý_được_ban_hành,số_văn_bản_pháp_lý_mới_được_lưu_trữ,số_văn_bản_pháp_lý_cần_rà_soát_lại,số_hồ_sơ_cấp_phép_đang_soạn_thảo,số_hồ_sơ_cấp_phép_đang_chờ_cơ_quan_nhà_nước_xử_lý,số_lần_bị_nhắc_nhở_từ_cơ_quan_quản_lý,tỷ_lệ_công_bố_thông_tin_chính_xác_ngay_lần_đầu,thời_gian_trung_bình_xử_lý_công_bố_thông_tin_bất_thường,mức_độ_tuân_thủ_các_quy_định_về_quản_trị_công_ty,số_cuộc_họp_hđqt_và_đại_hội_đồng_cổ_đông_tổ_chức_đúng_quy_trình,tỷ_lệ_biên_bản_họp_được_ban_hành_đúng_thời_hạn,số_lượng_vi_phạm_về_giao_dịch_nội_bộ_bị_phát_hiện,số_lần_nhắc_nhở_của_hđqt_về_hỗ_trợ_quản_trị,tài_liệu_họp_hđqt_đhđcđ_được_chuẩn_bị_đúng_hạn,số_lượng_văn_bản_nội_bộ_được_soạn_thảo_và_cập_nhật,số_lượng_yêu_cầu_hỗ_trợ_từ_hđqt_được_xử_lý_thành_công,tỷ_lệ_tuân_thủ_các_yêu_cầu_về_hồ_sơ_lưu_trữ,số_lỗi_sai_trong_tài_liệu_họp_hđqt_đhđcđ_bị_phát_hiện
2025-01-02,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,100.0,40.0,100.0,0.0,100.0,0.0,0.0,1.0,0.0,3.0,100.0,0.0
2025-01-03,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,100.0,25.0,100.0,0.0,100.0,0.0,0.0,1.0,0.0,3.0,100.0,0.0
2025-01-04,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,100.0,32.0,100.0,0.0,100.0,0.0,0.0,1.0,0.0,3.0,100.0,0.0
2025-01-06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,100.0,39.0,100.0,0.0,100.0,0.0,0.0,1.0,0.0,3.0,100.0,0.0
2025-01-07,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,26.0,100.0,0.0,100.0,0.0,0.0,1.0,0.0,3.0,100.0,0.0
2025-01-08,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,31.0,100.0,0.0,100.0,0.0,0.0,1.0,0.0,3.0,100.0,0.0
2025-01-09,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,46.0,100.0,0.0,100.0,0.0,0.0,1.0,0.0,3.0,100.0,0.0
2025-01-10,2.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,41.0,100.0,0.0,100.0,0.0,0.0,1.0,0.0,3.0,100.0,0.0
2025-01-11,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,100.0,24.0,100.0,0.0,100.0,0.0,0.0,1.0,0.0,3.0,100.0,0.0
2025-01-13,3.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,100.0,45.0,100.0,0.0,100.0,0.0,0.0,1.0,0.0,3.0,100.0,0.0
2025-01-14,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,100.0,40.0,100.0,0.0,100.0,0.0,0.0,1.0,0.0,3.0,100.0,0.0
2025-01-15,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,25.0,100.0,0.0,100.0,0.0,0.0,1.0,0.0,3.0,100.0,0.0
2025-01-16,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,33.0,100.0,0.0,100.0,0.0,0.0,1.0,0.0,3.0,100.0,0.0
