Ngày báo cáo	Ngày tạo	Số hợp đồng đang rà soát	Số phụ lục hợp đồng đang rà soát	Số hợp đồng, phụ lục mới được lưu trữ	Số hợp đồng mới nhận từ các phòng/ban	Số hợp đồng có điều khoản cần đàm phán lại	Số hợp đồng có tranh chấp phát sinh	Số biên bản nghiệm thu, thanh lý đang rà soát	Số văn bản pháp lý đang soạn thảo	Số văn bản pháp lý được ban hành	Số văn bản pháp lý mới được lưu trữ	Số văn bản pháp lý cần rà soát lại	Số hồ sơ cấp phép đang soạn thảo	Số hồ sơ cấp phép đang chờ cơ quan nhà nước xử lý	Tỷ lệ báo cáo gửi đúng hạn	Số lần bị nhắc nhở từ cơ quan quản lý	Tỷ lệ công bố thông tin chính xác ngay lần đầu	Số lượng báo cáo công bố thông tin hoàn thành	Thời gian trung bình xử lý công bố thông tin bất thường	Mức độ tuân thủ các quy định về quản trị công ty	Số cuộc họp HĐQT và Đại hội đồng cổ đông tổ chức đúng quy trình	Tỷ lệ biên bản họp được ban hành đúng thời hạn	Số lượng vi phạm về giao dịch nội bộ bị phát hiện	Số lần nhắc nhở của HĐQT về hỗ trợ quản trị	Tài liệu họp HĐQT/ĐHĐCĐ được chuẩn bị đúng hạn	Số lượng văn bản nội bộ được soạn thảo và cập nhật	Số lượng yêu cầu hỗ trợ từ HĐQT được xử lý thành công	Tỷ lệ tuân thủ các yêu cầu về hồ sơ lưu trữ	Số lỗi sai trong tài liệu họp HĐQT/ĐHĐCĐ bị phát hiện	Vấn đề xảy ra trong ngày
45658	45659																													
45,659.0	45660	2	0	0	0	0	0	0	0	0	0	0	0	4	100	0	100	8	40	100	0	100	0	0	1	0	3	100	0	
45,660.0	45661	1	0	1	3	0	0	0	0	0	0	0	0	4	100	0	100	18	25	100	0	100	0	0	1	0	3	100	0	
45,661.0	45662	1	0	3	1	0	0	0	0	0	1	0	2	0	100	0	100	7	32	100	0	100	0	0	1	0	3	100	0	
45,662.0	45,663.00																													
45,663.0	45664	2	0	0	0	0	0	0	0	1	0	1	1	1	100	0	100	9	39	100	0	100	0	0	1	0	3	100	0	
45,664.0	45665	3	0	2	1	1	0	0	0	0	0	0	0	0	100	0	100	17	26	100	0	100	0	0	1	0	3	100	0	
45,665.0	45666	2	0	1	3	0	0	0	0	0	1	0	0	0	100	0	100	8	31	100	0	100	0	0	1	0	3	100	0	
45,666.0	45667	2	3	1	0	1	0	0	0	1	0	0	0	0	100	0	100	19	46	100	0	100	0	0	1	0	3	100	0	
45,667.0	45668	2	2	3	0	1	0	1	1	1	0	0	1	0	100	0	100	8	41	100	0	100	0	0	1	0	3	100	0	
45,668.0	45669	1	2	1	1	0	0	0	0	0	0	1	1	1	100	0	100	18	24	100	0	100	0	0	1	0	3	100	0	
45,669.0	45,670.00																													
45,670.0	45671	3	1	2	1	0	0	1	1	0	1	1	0	1	100	0	100	17	45	100	0	100	0	0	1	0	3	100	0	
45,671.0	45672	2	3	1	0	1	0	0	0	1	0	1	0	1	100	0	100	8	40	100	0	100	0	0	1	0	3	100	0	
