Ngày báo cáo	Ngày tạo	Số lượng dự án đang triển khai	Số lượng dự án bị trì hoãn	Số lượng yêu cầu mẫu mới phát sinh trong ngày	Số lượng yêu cầu mẫu hoàn thành và bàn giao trong ngày	Số lượng NVL mới or SP đối thủ được đánh giá trong ngày	Số lượng chứng từ liên quan mẫu được phát hành theo mẫu (Ingredient, COA, Spec, Flowchart)	Số lượng BOM, công thức, Spec (NVL, thành phẩm), Ingredient được phát hành sản xuất	Số lượng BOM báo giá theo yêu cầu phòng KD	Số lượng sản phẩm cải tiến hoàn thành	Số lượng cải tiến quy trình sản xuất (QTSX) trong ngày	Mức độ giảm chi phí nhờ cải tiến QTSX (VNĐ hoặc %)	Mức độ giảm chi phí nhờ cải tiến nguyên vật liệu (VNĐ hoặc %)	Số lượng Hồ sợ tự công bố đã được duyệt	Vấn đề xảy ra trong ngày
45658	45659														
45,659.0	45660	0	0	5	4	27	0	0	0	0	1.0	0	0	0	
45,660.0	45661	0	1	2	1	0	0	1	2	0	0.0	0	0	0	
45,661.0	45662	0	0	2	2	0	5	0	0	0	2.0	0	0	12	
45,662.0	45,663.00		0	3	0	0	0	2	0	0	2.0	0	0	12	
45,663.0	45664	0	0	1	1	0	0	2	1	0	3.0	0	0	0	
45,664.0	45665	0	0	2	2	0	2	0	0	0	1.0	0	0	0	
45,665.0	45666	2	0	2	2	0	0	2	2	0	4.0	0	0	0	
45,666.0	45667	2	0	2	1	0	0	0	0	0	1.0	0	0	0	
45,667.0	45668	0.0	0	0.0	3.0	0.0	0.0	0.0	2.0	0	2.0	0	0	0.0	
45,668.0	45669	0.0	0	4.0	4.0	26.0	0.0	1.0	0.0	0	0.0	0	0	0.0	
45,669.0	45,670.00		0	2.0	2.0	0.0	2.0	0.0	1.0	0	1.0	0	0	12.0	
45,670.0	45671	0.0	2	3.0	1.0	0.0	5.0	2.0	2.0	0	2.0	0	0	0.0	
45,671.0	45672	2.0	0	1.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	
45,672.0	45673	0.0	0	2.0	2.0	0.0	0.0	2.0	0.0	0	0.0	0	0	12.0	
45,673.0	45674	0.0	0	2.0	2.0	0.0	0.0	0.0	2.0	0	0.0	0	0	0.0	
45,674.0	45675	0.0	0	2.0	3.0	0.0	0.0	1.0	0.0	0	0.0	0	0	0.0	
45,675.0	45676	2.0	0	0.0	1.0	0.0	2.0	2.0	0.0	0	0	0	0	0.0	
45,676.0	45,677.00	2.0	0	5.0	4.0	0.0	0.0	0.0	0.0	0	4	0	0	0.0	
45,677.0	45678	2.0	0	2.0	1.0	28.0	0.0	0.0	0.0	0	1	0	0	12.0	
45,678.0	45679	0.0	0	2.0	2.0	0.0	5.0	2.0	0.0	0	2	0	0	12.0	
45,679.0	45680	0.0	0	3.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	
45,680.0	45681	0.0	0	1.0	1.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0	
45,681.0	45682	0.0	0	2.0	2.0	0.0	2.0	0.0	0.0	0	0.0	0	0	0.0	
45,682.0	45683	2.0	0	2.0	2.0	0.0	0.0	2.0	0.0	0	0	0	0	0.0	
45,683.0	45,684.00	2.0	0	2.0	1.0	0.0	0.0	2.0	0.0	0	0.0	0	0	0.0	
45684	45685														
45685	45686														
45686	45687														
45687	45688														
45688	45689														
45689	45690														
45690	45691														
45691	45692														
45,692.0	45693	2.0	0	0.0	1.0	0.0	2.0	2.0	0.0	0	0	0	0	0.0	
45,693.0	45694	0.0	0	5.0	4.0	0.0	0.0	0.0	0.0	0	0.0	0	0	12.0	
45,694.0	45695	0.0	0	2.0	1.0	0.0	0.0	1.0	1.0	0	0	0	0	12.0	
45,695.0	45696	0.0	0	2.0	2.0	26.0	5.0	2.0	0.0	0	1.0	0	0	0.0	
45,696.0	45697	2.0	0	3.0	0.0	0.0	0.0	0.0	2.0	0	0	0	0	0.0	
45,697.0	45,698.00	0.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	
45,698.0	45699	0.0	0	2.0	2.0	0.0	2.0	2.0	2.0	0	0	0	0	0.0	
45,699.0	45700	0.0	0	2.0	0.0	26.0	5.0	2.0	0.0	0	0.0	0	0	0.0	
45,700.0	45701	2.0	0	2	0.0	0.0	0.0	0.0	1.0	0	0	0	0	0.0	
