Ngày báo cáo	Ngày tạo	Số lượng nhân sự (người )	Chi phí vật tư, nhiên liệu (triệu)	Sản lượng lá thu hoạch (tấn )	Sản lượng cây con (ngàn cây)	Doanh thu bán lá và cây con (triệu)	Lợi nhuận gộp (triệu)	Số lượng nhân sự (người )	Chi phí vật tư, nhiên liệu (triệu)	Sản lượng dưa thu hoạch (tấn)	Doanh thu bán dưa (triệu)	Lợi nhuận gộp (triệu)	Số lượng nhân sự (người )	Chi phí vật tư, nhiên liệu (triệu)	Sản lượng táo thu hoạch (tấn)	Doanh thu bán táo (triệu)	Lợi nhuận gộp (triệu)	Số lượng nhân sự (người )	Chi phí vật tư, nhiên liệu (triệu)	Sản lượng cỏ thu hoạch (tấn)	Doanh thu bán cỏ (triệu)	Lợi nhuận gộp (triệu)	Số lượng nhân sự (người)	Chi phí vật tư, nhiên liệu (triệu)	Sản lượng bắp thu hoạch (tấn)	Doanh thu bán bắp (triệu)	Lợi nhuận gộp (triệu)	Số lượng nhân sự (người)	Chi phí vật tư, nhiên liệu (triệu)	Sản lượng phân compost thành phẩm (tấn)	Doanh thu bán phân (triệu)	Lợi nhuận gộp (triệu)	Số lượng nhân sự (người)	Chi phí vật tư, nhiên liệu (triệu)	Sản lượng táo sấy thành phẩm (tấn)	Doanh thu bán táo sấy (triệu)	Lợi nhuận gộp (triệu)	Số giờ đào tạo (giờ)	Số hạng mục đào tạo	Số lượng Kaizen (được ứng dụng)	Số lượng khen thưởng	Vấn đề xảy ra trong ngày
45658	45659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	
45,659.0	45660	5	0.66	0	0	9.37	4.66	5	0.16	0.44	2.8	1.49	3	0.16	0.7	11.28	10.39	2	0.48	3.04	1.73	0.73	3	0.71	0.55	1.62	0.18	3	4.4	13.18	15.33	10.2	2	3.36	0.2	49.6	45.7	0.0	0.0	0.0	1.0	
45,660.0	45661	4	0.39	4	0	0	2.86	6	0.02	0.99	2.17	0.79	4	0.76	0.42	7.01	5.31	2	0.97	3.13	2.98	1.49	2	0.96	0.01	1.63	0.15	2	7.17	12.87	19.16	11.5	3	3.28	0.1	36.4	32.4	0.0	0.0	0.0	0.0	
45,661.0	45662	4	0.24	1.7	0	0	8.38	6	0.53	0.55	0.04	-1.85	4	1.48	0.43	12.89	10.47	2	0.67	3.59	1.86	0.67	2	0.56	0.2	1.34	0.26	2	6.52	10.07	16.07	9.0	2	4.89	0.2	33.6	28.1	0.0	0.0	0.0	0.0	
45,662.0	45,663.00	0	0	0	0.3	0	2.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	
45,663.0	45664	5	0.21	2.9	1.35	0.75	4.06	5	0.84	0.57	0.89	-1.1	4	0.46	0.19	8.63	7.23	3	0.13	3.59	2.69	1.83	2	0.93	0.72	1.81	0.36	2	5.9	9.14	17.71	11.3	3	3.25	0.9	31.6	27.6	4.0	2.0	0.0	0.0	
45,664.0	45665	5	0.56	0	0	4.98	0.02	6	1.43	0.47	0.14	-2.65	3	0.78	0.72	7	5.49	2	0.39	3.56	1.39	0.48	3	0.99	0.87	1.4	-0.32	2	6.93	10.34	12.54	5.1	3	2.53	0.0	30.4	27.1	0.0	0.0	0.0	0.0	
45,665.0	45666	5	0.6	3.6	0.96	0	3.5	6	0.44	0.48	2.6	0.8	4	1.73	0.77	9.89	7.22	2	0.19	3.56	2.35	1.64	3	0.28	0.74	1.45	0.44	2	5.02	9.76	22.75	17.2	3	4.54	0.5	45.6	40.3	0.0	0.0	0.0	0.0	
45,666.0	45667	4	0.47	0	1.51	6.24	6.8	5	0.85	0.58	2.99	0.99	5	0.48	0.25	7.36	5.73	3	0.74	3.12	1.07	-0.4	3	0.36	0.17	1.16	0.07	2	5.81	15.95	18.46	12.1	3	2.56	0.9	31.8	28.5	0.0	0.0	0.0	0.0	
45,667.0	45668	4	0.21	2.56	1.93	4.5	0	5	0.93	0.25	2.39	0.31	5	0.42	0.48	12.77	11.2	2	0.76	3.44	2.11	0.83	3	0.11	0.28	1.15	0.31	3	4.8	16.7	15.61	10.1	2	4.13	1.8	43.4	38.8	0.0	0.0	0.0	0.0	
