Ngày báo cáo	Ngày tạo	Tổng doanh thu trong ngày (theo nguồn: bán hàng, dịch vụ, khác)	Tổng chi phí phát sinh trong ngày	Chi tiết giao dịch ngân hàng (tiền vào)	Chi tiết giao dịch ngân hàng (tiền ra)	Số dư tiền mặt tại quỹ	Lợi nhuận gộp theo ngày ĐVT	Tỷ lệ nợ trễ hạn thanh toán trên tổng công nợ	Tổng doanh thu trong ngày (theo nguồn: bán hàng, dịch vụ, khác)	Tổng chi phí đã chi ra trong ngày (tiền ra) 	Chi tiết giao dịch ngân hàng (tiền vào) 	Chi tiết giao dịch ngân hàng (tiền ra) 	Số dư tiền mặt tại quỹ 	Lợi nhuận gộp theo ngày 	Chi phí quản lý, chi phí hoạt động 	Chi phí năng lượng (điện, củi, nước) 	Chi phí nhân công_hàng cắt	Chi phí nhân công_hàng aseptic 	Chi phí năng lượng (điện, củi, nước)	Giá nguyên liệu 	Tổng doanh thu trong ngày (theo nguồn: bán hàng, dịch vụ, khác) 	Tổng chi phí đã chi ra trong ngày (tiền ra) 	Chi tiết giao dịch ngân hàng (tiền vào) 	Chi tiết giao dịch ngân hàng (tiền ra) 	Số dư tiền mặt tại quỹ 	Lợi nhuận gộp theo ngày 	Giá nguyên liệu 	Tổng doanh thu trong ngày (theo nguồn: bán hàng, dịch vụ, khác) 	Tổng chi phí đã chi ra trong ngày (tiền ra) 	Chi tiết giao dịch ngân hàng (tiền vào) 	Chi tiết giao dịch ngân hàng (tiền ra) 	Số dư tiền mặt tại quỹ 	Lợi nhuận gộp theo ngày 	Chi phí nhân công 	Doanh thu lá 	Doanh thu cây con 	Chi phí phân bón 	Giá nguyên liệu 	Vấn đề xảy ra trong ngày
45658	45659																																						
45659	45660	7120	5853	295.5	295.5	3.2	197	33	11.5	2.9	2.9	40	150	3	80.5	849.5	3.4	3.5	2.6	2310	2334	317	300	297	2050	14.9	67.4	21	21	128	126.5	8	11	8	20.8	152.5	85	120	
45660	45661	990.5	88.5	1317	11721	2.2	503	33	1353	836	415	215	155	4.2	81	851	3.8	3.5	0.85	2280.5	320	398	750	2050	170	65	69.2	8.5	8.5	69.5	69.8	8.2	10.5	8.2	9	148	87.5	122.5	
45661	45662	7120	1635	952.5	100	5.2	57	33	697	3.2	6.6	90	145	380	84	852.5	3.6	3.5	0.85	2340	2080	405	0	170	1620	68	65.4	68	68	0.01	0.01	8.1	10.6	8.1	68.5	155	83	118	
45,662.00	45,663.00																																						
45663	45664	7120	7120	1512	876.8	2.2	1267	22	1152	11.5	815	3450	149	215	940	866	3.5	3.5	0.85	2365	2130	410	0	170	5050	69	66.2	9.2	9.2	126.5	127.2	19.5	10	19.5	8.7	151	84.5	119.5	
45664	45665	247	88.5	1840.5	296.5	2.5	1529.4	44	3	33	725	2	75	195.3	79	853	3.7	3.5	2.6	2320	2950	395	0	1620	540	67.5	68.6	67.8	67.8	70.5	70.3	19.7	9.77	19.7	68.1	153.5	86	121	
45665	45666	7120	1635	2169	11721	2.32	1819.8	32.53333333	553.8333333	33	1522.969524	160	68	165	85.5	850.5	3.8	3.5	2.7	2400	205	402	0	2490	0	70	67.7	21.2	9.2	0.03	0.03	19.6	9.54	19.6	20.7	147	88.5	123.5	
45666	45667	7180	190	2457	1102.4	2.14	2110.2	32.87619048	531.7619048	33	1199.260952	265	245	355	88	855	3.6		2.7	2345	5	407.5	0	5050	0	66	69.9	8.7	67.7	355	356	31.3	9.31	31.3	9.1	150	82	117	
45667	45668	7120	6320	2497.5	1490.8	1.96	2400.6	33.21904762	509.6904762	32	1361.115238	38	155	1.1	935	849	3.5		3.605	2275	460	399	295	540	2040	68.5	65.6	68.5	21.2	127.5	126.8	8.1	9.08	8.1	68.4	152.5	91	126	
